date,location,country,total_vaccinations_raw,total_distributed_raw,pop_est,division
2021-01-12,Alabama,usa,78134.0,377025.0,4903410.151036094,East South Central
2021-01-13,Alabama,usa,84040.0,378975.0,4903410.151036094,East South Central
2021-01-14,Alabama,usa,92300.0,435350.0,4903410.151036094,East South Central
2021-01-15,Alabama,usa,100567.0,444650.0,4903410.151036094,East South Central
2021-01-16,Alabama,usa,,,4903410.151036094,East South Central
2021-01-17,Alabama,usa,,,4903410.151036094,East South Central
2021-01-18,Alabama,usa,,,4903410.151036094,East South Central
2021-01-19,Alabama,usa,130795.0,444650.0,4903410.151036094,East South Central
2021-01-20,Alabama,usa,139200.0,483275.0,4903410.151036094,East South Central
2021-01-21,Alabama,usa,165919.0,493125.0,4903410.151036094,East South Central
2021-01-22,Alabama,usa,199314.0,519525.0,4903410.151036094,East South Central
2021-01-23,Alabama,usa,221540.0,521225.0,4903410.151036094,East South Central
2021-01-24,Alabama,usa,243737.0,521225.0,4903410.151036094,East South Central
2021-01-25,Alabama,usa,250612.0,521225.0,4903410.151036094,East South Central
2021-01-26,Alabama,usa,254959.0,569000.0,4903410.151036094,East South Central
2021-01-27,Alabama,usa,266444.0,634000.0,4903410.151036094,East South Central
2021-01-28,Alabama,usa,278993.0,655275.0,4903410.151036094,East South Central
2021-01-29,Alabama,usa,300915.0,659400.0,4903410.151036094,East South Central
2021-01-30,Alabama,usa,342436.0,659400.0,4903410.151036094,East South Central
2021-01-31,Alabama,usa,353974.0,659400.0,4903410.151036094,East South Central
2021-02-01,Alabama,usa,358280.0,659400.0,4903410.151036094,East South Central
2021-02-02,Alabama,usa,371882.0,680550.0,4903410.151036094,East South Central
2021-02-03,Alabama,usa,388339.0,765150.0,4903410.151036094,East South Central
2021-02-04,Alabama,usa,408428.0,799675.0,4903410.151036094,East South Central
2021-02-05,Alabama,usa,430597.0,799875.0,4903410.151036094,East South Central
2021-02-06,Alabama,usa,455173.0,804100.0,4903410.151036094,East South Central
2021-02-07,Alabama,usa,462332.0,804100.0,4903410.151036094,East South Central
2021-02-08,Alabama,usa,467636.0,804100.0,4903410.151036094,East South Central
2021-02-09,Alabama,usa,490969.0,823600.0,4903410.151036094,East South Central
2021-02-10,Alabama,usa,515802.0,861175.0,4903410.151036094,East South Central
2021-02-11,Alabama,usa,543237.0,911875.0,4903410.151036094,East South Central
2021-02-12,Alabama,usa,571115.0,936200.0,4903410.151036094,East South Central
2021-02-13,Alabama,usa,601159.0,963600.0,4903410.151036094,East South Central
2021-02-14,Alabama,usa,612254.0,965550.0,4903410.151036094,East South Central
2021-02-15,Alabama,usa,,,4903410.151036094,East South Central
2021-02-16,Alabama,usa,636682.0,1015775.0,4903410.151036094,East South Central
2021-02-17,Alabama,usa,650020.0,1032175.0,4903410.151036094,East South Central
2021-02-18,Alabama,usa,672038.0,1032175.0,4903410.151036094,East South Central
2021-02-19,Alabama,usa,739132.0,1077600.0,4903410.151036094,East South Central
2021-02-20,Alabama,usa,776936.0,1078800.0,4903410.151036094,East South Central
2021-02-21,Alabama,usa,788613.0,1082100.0,4903410.151036094,East South Central
2021-02-22,Alabama,usa,793614.0,1082100.0,4903410.151036094,East South Central
2021-02-23,Alabama,usa,815108.0,1084440.0,4903410.151036094,East South Central
2021-02-24,Alabama,usa,839703.0,1138650.0,4903410.151036094,East South Central
2021-02-25,Alabama,usa,864757.0,1170120.0,4903410.151036094,East South Central
2021-02-26,Alabama,usa,893859.0,1380380.0,4903410.151036094,East South Central
2021-02-27,Alabama,usa,931090.0,1402180.0,4903410.151036094,East South Central
2021-02-28,Alabama,usa,942502.0,1402280.0,4903410.151036094,East South Central
2021-03-01,Alabama,usa,948393.0,1402280.0,4903410.151036094,East South Central
2021-03-02,Alabama,usa,972161.0,1461320.0,4903410.151036094,East South Central
2021-03-03,Alabama,usa,1000031.0,1469100.0,4903410.151036094,East South Central
2021-03-04,Alabama,usa,1032171.0,1530470.0,4903410.151036094,East South Central
2021-03-05,Alabama,usa,1064578.0,1556460.0,4903410.151036094,East South Central
2021-03-06,Alabama,usa,1099697.0,1628350.0,4903410.151036094,East South Central
2021-03-07,Alabama,usa,1110132.0,1628350.0,4903410.151036094,East South Central
2021-03-08,Alabama,usa,1116676.0,1628350.0,4903410.151036094,East South Central
2021-03-09,Alabama,usa,1140984.0,1689050.0,4903410.151036094,East South Central
2021-03-10,Alabama,usa,1173820.0,1775660.0,4903410.151036094,East South Central
2021-03-11,Alabama,usa,1209802.0,1816230.0,4903410.151036094,East South Central
2021-03-12,Alabama,usa,1249205.0,1838400.0,4903410.151036094,East South Central
2021-03-13,Alabama,usa,1288242.0,1918560.0,4903410.151036094,East South Central
2021-03-14,Alabama,usa,1298612.0,1918560.0,4903410.151036094,East South Central
2021-03-15,Alabama,usa,1306419.0,1918560.0,4903410.151036094,East South Central
2021-03-16,Alabama,usa,1332298.0,2004160.0,4903410.151036094,East South Central
2021-03-17,Alabama,usa,1363987.0,2080870.0,4903410.151036094,East South Central
2021-03-18,Alabama,usa,1390066.0,2118650.0,4903410.151036094,East South Central
2021-03-19,Alabama,usa,1426696.0,2141210.0,4903410.151036094,East South Central
2021-03-20,Alabama,usa,1460782.0,2177880.0,4903410.151036094,East South Central
2021-03-21,Alabama,usa,1472666.0,2177880.0,4903410.151036094,East South Central
2021-03-22,Alabama,usa,1479271.0,2177880.0,4903410.151036094,East South Central
2021-03-23,Alabama,usa,1509445.0,2275030.0,4903410.151036094,East South Central
2021-03-24,Alabama,usa,1542416.0,2403720.0,4903410.151036094,East South Central
